gameid,avg_kd,sum_likelihood
377175583563765943,1.0915920843750757,136,0.953550251338391
1867167520034580454,1.054869567840898,151,0.8347452579649319
13063882378137964531,1.4751531195213552,34,0.9979289481504388
8648205854600033849,1.21916372619122,146,0.9912388583671093
3981297559543080699,1.1309154019497059,148,0.9875404606164945
2784156919928476565,1.1088431642357657,36,0.8743982714407896
1035519922873225491,1.1370926064437337,39,0.932357348298203
18344441005648683690,1.1311518695149283,146,0.9875199822754812
3400168343991805277,1.0048784002150608,144,0.4073736796459224
4755732628862792753,0.7908992918028427,74,3.909338457078801e-06
9345580062572893870,1.003568751875899,150,0.3922400925696623
9144847468976745422,1.0214622482773261,39,0.5517409204766538
12865976682530288799,1.1266324840793027,39,0.9164506367601214
4066275414666775399,1.1666481243490952,146,0.990892145838882
10732406598248655178,1.0380014140693457,149,0.7176996140698185
4559742975404235761,1.3217486821677815,143,0.991424408168508
12328202648368922453,1.0438174298156813,149,0.7623173866211358
10866163731544449881,0.9864585570243772,147,0.24007372984589773
17384374683826029557,0.7645205339706398,72,2.9449019896620886e-07
2094863448119728680,0.7082978583480174,75,7.33267367730863e-11
14542243409149248865,0.8817559111525157,144,0.0002028556359353032
13868341476950800290,1.0196370721636103,151,0.5520155890550321
10847682239015354930,0.8834559747218984,92,0.002713764773101549
5165167504913304622,1.0780628883039727,40,0.7991278370681082
6919472845623900723,0.9077015168229227,93,0.012322370645820984
947698587386095165,1.0148561539417367,39,0.518155397159538
17027739698957039098,1.2394234145149061,140,0.9916016396846749
8591903975863144388,1.2621105466585854,148,0.9911257564281274
6188782625651017356,0.8313884669851972,89,4.1283641885357533e-05
3554541140762622668,1.1354777799123648,148,0.9884411770912181
5184752302722666270,1.1760027832540136,141,0.9913184258788605
12495322349002107724,1.1050506427899938,143,0.9737190641069478
15312029568279681814,1.1580224367724798,147,0.9905646335263647
10044797335136851276,0.9939709359488342,151,0.30142287205939966
9531549354495327437,1.1534600505053694,149,0.9902737533203284
2730975062113375940,0.8124787429878593,147,8.303056408284338e-09
17311630363411036135,0.9493573565434063,143,0.04834622117799535
16834099564317070740,0.7371765482933959,72,9.872097700907072e-09
5835271277940511672,0.8498012831673722,76,0.0006054369456752304
3486614909109718218,0.7964950492402872,75,6.032623583258312e-06
9579290340547408370,1.1568887788515532,150,0.9904037213986888
13192144008453364943,0.873064814994113,147,6.480562810471266e-05
13831398821526164370,1.1389632167228567,146,0.9889614113205843
12628968517031965745,1.0314471262318823,146,0.6604288078784273
7420968833268407109,0.7169673785573529,68,1.7517795020012853e-09
3618795544574208090,1.1251314964584336,142,0.9855812373662997
7047179744261113902,1.1391660757302986,38,0.9331721624198297
8074040987227471438,1.1699783637169503,39,0.9659837018322867
5477233152979530933,0.9077613332138719,142,0.0026946731273748505
16528207308472170389,1.0043029343767658,149,0.39935336714655373
16691087271496598058,1.0520158557068258,40,0.698753540921947
7820693182937008563,1.1048707041911143,40,0.8754752688353538
7034529468560828638,1.2310429665005083,150,0.9910047000484412
2116652524622411283,1.2206615269988434,141,0.9915358644277616
3033706352066132213,1.3413457044641097,151,0.9909468338734895
1366350143136046718,1.1100082762500882,146,0.9784581104484793
15429355440863577177,0.8600040241072335,40,0.014693349326419844
15878751096960575574,0.8679109190574623,150,2.9048230350028237e-05
13538205608819176135,1.1365457444686422,147,0.9885964080919764
8954504679620077356,1.2250422203989508,143,0.9914194890248224
8631719924508647798,1.1471895515744766,148,0.9898756326875101
15317201430624920598,1.2167621043884989,144,0.991355769299096
6661368577961336712,1.0877562159436984,149,0.9522350742614306
13850828027426412958,1.0155408110216537,142,0.5116496885202771
5716500029597040737,1.0126219677517463,145,0.482583517264141
13638328624620052661,1.2562023030679648,149,0.9910659864229177
4673868877075267553,1.150146814654853,134,0.990313377861077
586443114721393041,0.9266304992200566,143,0.011511555251830563
17324017094249224180,1.1651903047096148,148,0.9907633031007999
13499841402274238571,1.1492731198821353,146,0.9900828613632854
4912757178929132214,0.6495785161236046,125,2.2737051910409143e-24
7219949343730202856,0.8696900703047541,140,6.408162965849159e-05
43457912335127333,0.8263198597311826,135,2.8570565485133253e-07
